,Article Type,URL,Has Tweet Source?,Location Tweet Source,Claims,Original tweets
14,default latest,https://www.abc.net.au/news/2021-10-01/coronacheck-martin-foley-vaccination-gaffe/100504420,False,,[],[]
15,default latest,https://www.abc.net.au/news/2021-09-24/coronacheck-dan-andrews-medicare-voice-recording/100485564,False,,['proof'],['www.twitter.com/JacqDZN/status/1441012583012597769']
16,pagination latest,https://www.abc.net.au/news/2021-09-23/fact-check-annastacia-palaszczuk-doherty-modelling/100481476,False,,"['If New South Wales is the model of what lies in store for all of us, then we need to be having some serious discussions. Doherty Institute modelling predicts that even with 70 per cent of the population vaccinated, 80 people will die each day from COVID once the outbreak reaches six months after it started. That is 2,240 who will die each month.']",['Quoted claim exceeds 280 characters']
17,pagination latest,https://www.abc.net.au/news/2021-09-21/fact-check-teenagers-with-covid-19-ending-up-in-hospital/100467134,False,,"['the front line in this disastrous third wave', 'One in 30 teenagers who catch COVID is ending up in hospital,']","['No tweets found', 'No tweets found']"
18,pagination latest,https://www.abc.net.au/news/2021-09-17/coronacheck-nicki-minaj-swollen-testicles-covid-19-vaccine/100467622,False,,[],[]
19,pagination latest,https://www.abc.net.au/news/2021-09-15/fact-check-misinformation-study/100460466,False,,[],[]
20,pagination latest,https://www.abc.net.au/news/2021-09-14/fact-check-does-australia-s-resettlement-of-refugees-rank-third/100436334,False,,"['most generous humanitarian resettlers', ""We're one of the most generous resettlement countries in the world for humanitarian places, always, every single year,"", ""We have 13,700. That's about third in the world every year, third-highest in the world.""]","['No tweets found', 'No tweets found', 'No tweets found']"
21,pagination latest,https://www.abc.net.au/news/2021-09-10/coronacheck-craig-kelly-text-messages/100446566,False,,[],[]
22,pagination latest,https://www.abc.net.au/news/2021-09-08/reality-check-ivermectin-covid19/100440624,False,,[],[]
23,pagination latest,https://www.abc.net.au/news/2021-09-07/fact-check-did-real-wages-fall-2-1-per-cent/100436186,False,,"['under Scott Morrison real wages have fallen 2.1 per cent in 12 months, the fastest drop in wages in 20 years']",['No tweets found']
24,pagination latest,https://www.abc.net.au/news/2021-09-03/coronacheck-germany-vaccine-rollout-hasnt-been-paused/100429716,False,,[],[]
25,pagination latest,https://www.abc.net.au/news/2021-08-31/fact-check-clive-palmer-vaccine-passports-breach-constitution/100407330,False,,"['Clive Palmer confirmed today that the actions  Premier Mark McGowan to introduce an interstate vaccination passport for people travelling to WA was in breach of section 117 of the Australian constitution,']",['No tweets found']
26,pagination latest,https://www.abc.net.au/news/2021-08-27/coronacheck-school-student-vaccination-misinformation/100410132,False,,[],[]
